CODE,NOM,DCI1,DOSAGE1,UNITE_DOSAGE1,FORME,PRESENTATION,PPV,PH,PRIX_BR,PRINCEPS_GENERIQUE,TAUX_REMBOURSEMENT
6118000020967,MANNITOL 20 % SOTHEMA,MANNITOL,20,%,SOLUTION POUR PERFUSION,1 POCHE 250 ML, 21.10   , -     , 21.10   ,G,0%
6118001020126,CEFTRIAXONE MYLAN,CEFTRIAXONE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 10 FLACON, 914.00   , 605.00   , 914.00   ,G,70%
6118001181438,IXEL,MILNACIPRAN,25,MG,GELULE,1 BOITE 56 GELULE, 170.90   , 106.50   , 170.90   ,P,70%
6118000270133,BICARBONATE EM 59,CONCENTRE POUR HEMODIALYSE,,NA,SOLUTE CONCENTRE,1 BIDON 10 L, 113.60   , 71.00   , 67.30   ,P,70%
6118000130109,LOFAT,FENOFIBRATE,67,MG,GELULE,1 BOITE 60 GELULE, 87.00   , 54.40   , 87.00   ,G,70%
6118000150213,SUPRADYNE PRONATAL,MULTIVITAMINES ET MINERAUX,,NA,COMPRIME ENROBE,1 BOITE 30 COMPRIME, 77.70   , 51.40   , 77.70   ,P,0%
6118001170524,CAMPTO,IRINOTECAN,40,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 2 ML, 533.00   , 354.00   , 533.00   ,P,70%
6118001100361,NORMACOL LAVEMENT ENF,PHOSPHATE DISODIQUE / PHOSPHATE MONOSODIQUE,4.8 / 10.92,G / MG,SOLUTION RECTALE,1 FLACON 60 ML, 21.00   , 13.90   , 21.00   ,P,0%
6118001180660,COLLYRE BLEU,METHYLTHIONINIUM HYDROXYDE / NAPHAZOLINE,2 / 5,MG / MG,COLLYRE,1 FLACON 10 ML, 18.50   , 12.20   , 18.50   ,P,0%
6118001180547,BLEU PATENTE,BLEU PATENTE,2.5,%,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE, 129.70   , 85.80   , 129.70   ,P,0%
6118001090266,RHEUMON IM,ETOFENAMATE,1,G/2ML,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE, 29.00   , 19.20   , 29.00   ,P,70%
6118000010258,BENADRYL,DIPHENHYDRAMINE,3.5,G,SOLUTION BUVABLE,1 FLACON 125 ML, 11.25   , -     , 11.25   ,P,0%
6118010031540,PHENERGAN,PROMETHAZINE,2,%,CREME,1 TUBE 30 G, 10.80   , 7.10   , 10.80   ,P,0%
6118001142262,AVAMYS 27.5 µG/PULVERISATION,FUROATE DE FLUTICASONE,0.0275,MG,SUSPENSION POUR PULVERISATION NASALE,1 FLACON 120 PULVERISATIONS, 115.00   , 76.10   , 115.00   ,P,0%
6118010025747,ULCESTOP,CIMETIDINE,200,MG,COMPRIME PELLICULE,1 BOITE 50 COMPRIME PELLICULE, 77.20   , 48.10   , 77.20   ,G,70%
6118001070473,PENTASA,MESALAZINE,1,G,SUSPENSION RECTALE,5 FLACON 100 ML, 256.00   , 159.80   , 256.00   ,P,70%
6118000120230,STATICOL,SIMVASTATINE,20,MG,COMPRIME ENROBE SECABLE,1 BOITE 14 COMPRIME, 50.00   , 31.20   , 50.00   ,G,70%
6118000240464,ISOFRA,FRAMYCETINE,0.8,MUI,SOLUTION POUR PULVERISATION NASALE,1 FLACON 15 ML, 21.05   , -     , 21.05   ,P,0%
6118000061168,DICYNONE,ETAMSYLATE,250,MG,COMPRIME,1 BOITE 20 COMPRIME, 36.75   , 22.90   , 36.75   ,P,70%
6118010001161,DIASTAB,GLICLAZIDE,80,MG,COMPRIME SECABLE,1 BOITE 60 COMPRIME SECABLE, 60.00   , 37.50   , 60.00   ,G,70%
6118000180678,DIASTAB,GLICLAZIDE,80,MG,COMPRIME SECABLE,1 BOITE 60 COMPRIME SECABLE, 60.00   , 37.50   , 60.00   ,G,70%
6118000160847,PENAMOX,AMOXICILLINE,500,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 100 ML, 65.00   , 40.50   , 64.90   ,P,70%
6118001120604,LESCOL,FLUVASTATINE,20,MG,GELULE,1 BOITE 28 GELULE, 225.30   , 149.00   , 225.30   ,P,70%
6118000120438,PYOSTACINE,PRISTINAMYCINE,500,MG,COMPRIME PELLICULE SECABLE,1 BOITE 16 COMPRIME SECABLE, 192.05   , 127.00   , 192.05   ,P,0%
6118000061717,PYOSTACINE,PRISTINAMYCINE,500,MG,COMPRIME PELLICULE SECABLE,1 BOITE 16 COMPRIME SECABLE, 192.05   , 127.00   , 192.05   ,P,0%
6118010001284,GENTALLINE,GENTAMICINE,80,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE, 27.10   , 16.90   , 18.10   ,P,70%
6118010001130,AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 200,G / MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 40.00   , 24.90   , 40.00   ,G,70%
6118001021031,AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 200,G / MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 40.00   , 24.90   , 40.00   ,G,70%
6118001170487,DEPO MEDROL,METHYLPREDNISOLONE,80,MG,SUSPENSION INJECTABLE,1 SERINGUE 2 ML, 40.30   , 25.20   , 40.30   ,P,70%
6118000140900,NOVOCLIN 1G/125MG,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 125,G / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 16 SACHET, 132.00   , 82.20   , 132.00   ,G,70%
6118000050803,CLARITYNE,LORATADINE,10,MG,COMPRIME EFFERVESCENT,1 BOITE 15 COMPRIME, 94.90   , 59.10   , 48.90   ,P,70%
6118001080991,CALCIPARINE,HEPARINE CALCIQUE,25000,UI,SOLUTION INJECTABLE,2 AMPOULE 1 ML, 57.70   , 35.90   , 57.70   ,P,70%
6118000030775,ZADITEN,KETOTIFENE,1,MG,GELULE,1 BOITE 60 GELULE, 158.90   , 105.10   , 158.90   ,P,0%
6118000040705,SPASMOPRIV,MEBEVERINE,100,MG,GELULE,1 BOITE 20 GELULE, 28.70   , 17.90   , 28.70   ,G,70%
6118001120598,LESCOL,FLUVASTATINE,20,MG,GELULE,1 BOITE 14 GELULE, 123.90   , 82.00   , 123.90   ,P,70%
6118000040620,PERSANTINE,DIPYRIDAMOL,75,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME, 31.50   , 19.70   , 31.50   ,P,70%
6118001230167,DOPAMINE AGUETTANT 10MG/ML,DOPAMINE,10,MG,SOLUTION POUR PERFUSION,1 BOITE 50 AMPOULE INJECTABLE, -     , 323.20   , 323.20   ,G,0%
6118000070320,CICLOVIRAL,ACICLOVIR,5,%,CREME,1 TUBE 10 G, 59.15   , 39.10   , 59.15   ,G,0%
6118001081288,XATRAL,ALFUZOSINE,2.5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME, 104.80   , 65.30   , 104.80   ,P,70%
6118000220268,SPASMOPLUS,PROPYPHENAZONE / CODEINE,220 / 25,MG / MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME, 33.20   , 21.95   , 33.20   ,P,0%
6118001110612,CAUSTINERF ARSENICAL,EPHEDRINE,1,%,PATE DENTAIRE,1 POT 6.5 G, 230.00   , -     , 230.00   ,P,0%
6118000030768,ZADITEN,KETOTIFENE,1,MG,GELULE,1 BOITE 30 GELULE, 84.50   , 55.90   , 84.50   ,P,0%
6118000031789,PARANTAL,PARACETAMOL,150,MG,GRANULE POUR SUSPENSION BUVABLE,1 BOITE 16 SACHET, 15.80   , 9.80   , 15.80   ,G,70%
6118001140459,FORTUM,CEFTAZIDIME,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 73.50   , 45.80   , 73.50   ,P,70%
6118001150991,OKARUBICIN,DOXORUBICINE,10,MG,LYOPHILISAT POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 90.00   , 56.20   , 90.00   ,G,70%
6118000070726,PROCLOR,OMEPRAZOLE,20,MG,GELULE,1 BOITE 15 GELULE, 161.20   , 100.50   , 161.20   ,G,70%
6118010121340,BETASERC 24 MG,BETAHISTINE,24,MG,COMPRIME,1 BOITE 30 COMPRIME, 78.00   , 51.60   , 78.00   ,P,0%
6118000012641,BETASERC 24 MG,BETAHISTINE,24,MG,COMPRIME,1 BOITE 30 COMPRIME, 78.00   , 51.60   , 78.00   ,P,0%
6118000061519,THIOBACTIN,THIAMPHENICOL,125,MG,GRANULE POUR SUSPENSION BUVABLE,1 FLACON 60 ML, 23.70   , -     , 23.70   ,P,70%
6118010115905,BARACLUDE,ENTECAVIR,1,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME," 5,357.00   "," 5,102.00   "," 5,357.00   ",P,70%
6118001183388,BARACLUDE,ENTECAVIR,1,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME," 5,357.00   "," 5,102.00   "," 5,357.00   ",P,70%
6118000120575,FUCIDINE,ACIDE FUSIDIQUE,2,%,POMMADE,1 TUBE 15 G, 39.70   , 24.70   , 28.00   ,P,70%
6118000090434,MACROCID,ERYTHROMYCINE,500,MG,COMPRIME,1 BOITE 20 COMPRIME, 82.90   , 51.60   , 82.90   ,G,70%
6118000130512,LOMET,LANSOPRAZOLE,30,MG,GELULE,1 BOITE 28 GELULE, 70.00   , 43.60   , 70.00   ,G,70%
6118000250531,AMLOR,AMLODIPINE,5,MG,COMPRIME,1 BOITE 28 COMPRIME, 89.20   , 55.80   , 89.20   ,P,70%
6118010114076,MADECASSOL,CENTELLA ASIATICA,2,%,POUDRE POUR APPLICATION LOCALE,1 FLACON 10 G, 41.15   , 27.20   , 41.15   ,P,0%
6118000170419,MADECASSOL,CENTELLA ASIATICA,2,%,POUDRE POUR APPLICATION LOCALE,1 FLACON 10 G, 41.15   , 27.20   , 41.15   ,P,0%
6118010116520,TAGAMET,CIMETIDINE,200,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE, 89.00   , 58.90   , 57.20   ,P,70%
6118001141142,TAGAMET,CIMETIDINE,200,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE, 89.00   , 58.90   , 57.20   ,P,70%
6118001250875,FLOTRAL,ALFUZOSINE,10,MG,COMPRIME LP,1 BOITE 30 COMPRIME, 159.30   , 105.40   , 159.30   ,G,70%
6118001020300,METHYLPREDNISOLONE MYLAN,METHYLPREDNISOLONE,120,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 20 FLACON, 980.00   , 700.00   , 980.00   ,G,70%
6118000060086,HEMIDAONIL,GLIBENCLAMIDE,2.5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME, 28.40   , 17.70   , 28.40   ,P,70%
6118000080725,GIVALEX,HEXETIDINE / CHOLINE SALICYLATE,100 / 500,MG / MG,SOLUTION POUR BAIN DE BOUCHE,1 FLACON 125 ML, 15.80   , 10.40   , 15.80   ,P,0%
6118001021260,ONDANSETRON MYLAN 4 MG/2ML,ONDANSETRON,4,MG,SOLUTION INJECTABLE,5 AMPOULE 2 ML, 251.00   , 156.90   , 251.00   ,G,70%
6118001182886,GARDENAL,PHENOBARBITAL,40,MG,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,1 FLACON 2 ML, 13.30   , 8.30   , 13.30   ,P,70%
6118010126031,MAZAX 200 MG / 5 ML,AZITHROMYCINE,200,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 30 ML, 61.00   , 40.30   , 61.00   ,G,0%
6118001150755,HOMEOVOX,SOUCHE HOMEOPATHIQUE,,NA,COMPRIME ENROBE,1 FLACON 55 DRAGEE, 36.00   , 23.50   , 36.00   ,P,0%
6118010118579,BIPERIDYS 20MG,DOMPERIDONE,20,MG,COMPRIME PELLICULE SECABLE,1 BOITE 20 COMPRIME PELLICULE, 39.00   , 25.80   , 39.00   ,P,0%
6118010117848,KLARCINE 500 MG,CLARITHROMYCINE,500,MG,COMPRIME ENROBE,1 BOITE 14 COMPRIME ENROBE, 192.20   , 119.80   , 192.20   ,G,70%
6118001240050,KLARCINE 500 MG,CLARITHROMYCINE,500,MG,COMPRIME ENROBE,1 BOITE 14 COMPRIME ENROBE, 192.20   , 119.80   , 192.20   ,G,70%
6118010117695,AVANDAMET,ROSIGLITAZONE / METFORMINE,2 / 1000,MG / MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE, 58.10   , 38.40   , 58.10   ,P,0%
6118001142026,AVANDAMET,ROSIGLITAZONE / METFORMINE,2 / 1000,MG / MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE, 58.10   , 38.40   , 58.10   ,P,0%
6118001151141,TEMODAL,TEMOZOLOMIDE,100,MG,GELULE,1 FLACON 5 GELULE," 3,156.00   "," 2,837.00   "," 3,156.00   ",P,70%
6118010024337,FORMOMICIN,FORMOCORTAL / GENTAMICINE,0.05 / 0.3,MG / G,COLLYRE,5 FLACON .5 ML, 23.70   , -     , 23.70   ,G,0%
6118000012832,AMLODIPINE WIN,AMLODIPINE,10,MG,COMPRIME SECABLE,1 BOITE 14 COMPRIME SECABLE, 33.60   , 21.00   , 33.60   ,G,70%
6118010115752,ORAPRED 5 MG,PREDNISOLONE,5,MG,COMPRIME EFFERVESCENT,1 BOITE 60 COMPRIME EFFERVESCENT, 38.00   , 23.70   , 38.00   ,G,70%
6118000242031,ORAPRED 5 MG,PREDNISOLONE,5,MG,COMPRIME EFFERVESCENT,1 BOITE 60 COMPRIME EFFERVESCENT, 38.00   , 23.70   , 38.00   ,G,70%
6118000050872,NO-DEP,SERTRALINE,50,MG,COMPRIME SECABLE,1 BOITE 15 COMPRIME, 71.00   , 44.20   , 71.00   ,G,70%
6118010020186,NEVIPAN,NEVIRAPINE,200,MG,COMPRIME,1 BOITE 60 COMPRIME, 697.00   , 463.00   , 697.00   ,G,70%
6118001250387,NEVIPAN,NEVIRAPINE,200,MG,COMPRIME,1 BOITE 60 COMPRIME, 697.00   , 463.00   , 697.00   ,G,70%
6118010118166,MARVIL,OLANZAPINE,5,MG,COMPRIME,1 BOITE 28 COMPRIME, 160.00   , 99.70   , 160.00   ,G,70%
6118000131014,MARVIL,OLANZAPINE,5,MG,COMPRIME,1 BOITE 28 COMPRIME, 160.00   , 99.70   , 160.00   ,G,70%
6118010000027,CLAVULIN,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 125,G / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 24 SACHET, 221.00   , 138.30   , 203.00   ,P,70%
6118001080656,PROFENID,KETOPROFENE,100,MG,POUDRE POUR PERFUSION,1 BOITE 50 FLACON, 370.00   , 245.00   , 370.00   ,P,70%
6118001121175,ACTIVELLE,ESTRADIOL / NORETHISTERONE,1 / 0.5,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME, 129.00   , 85.30   , 129.00   ,P,0%
6118000300021,ZOFORA,PIROXICAM,20,MG,GELULE,1 BOITE 15 GELULE, 43.90   , 29.00   , 43.90   ,G,70%
6118000081685,DEXATOPIC,DEXAMETHASONE / NANDROLONE,0.44 / 0.44,MG / MG,CREME,1 TUBE 15 G, 20.50   , 13.60   , 20.50   ,P,0%
6118001030354,TRILEPTAL,OXCARBAZEPINE,300,MG,COMPRIME PELLICULE,1 BOITE 50 COMPRIME SECABLE, 222.00   , 138.80   , 222.00   ,P,70%
6118000033028,DI-INDO 50 MG,INDOMETACINE,50,MG,COMPRIME EFFERVESCENT,1 BOITE 15 COMPRIME EFFERVESCENT, 58.00   , 38.40   , 58.00   ,G,0%
6118001110643,GRINZOLE,METRONIDAZOLE,10,G,PATE DENTAIRE,1 TUBE 4.5 G, 370.00   , -     , 370.00   ,P,0%
6118000080688,SRILANE,IDROCILAMIDE,5,G,CREME,1 TUBE 60 G, 27.20   , 18.00   , 27.20   ,P,0%
6118010020384,REDLIP,SIMVASTATINE,20,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME, 130.00   , 81.20   , 130.00   ,G,70%
6118000071075,REDLIP,SIMVASTATINE,20,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME, 130.00   , 81.20   , 130.00   ,G,70%
6118000060314,ARTANE,TRIHEXYPHENIDYLE,5,MG,COMPRIME,1 BOITE 20 COMPRIME, 13.30   , 8.30   , 13.30   ,P,70%
6118010116834,GLIVEC,IMATINIB,100,MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME PELLICULE," 11,940.00   "," 11,714.00   "," 3,800.00   ",P,70%
6118001030828,GLIVEC,IMATINIB,100,MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME PELLICULE," 11,940.00   "," 11,714.00   "," 3,800.00   ",P,70%
6118001200375,ULTRAVIST,IOPROMIDE,370,MG,SOLUTION INJECTABLE,1 FLACON 50 ML, 333.20   , 220.40   , 333.20   ,P,0%
6118010117664,AVANDAMET,ROSIGLITAZONE / METFORMINE,2 / 500,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE, 112.00   , 74.10   , 112.00   ,P,0%
6118001141623,AVANDAMET,ROSIGLITAZONE / METFORMINE,2 / 500,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE, 112.00   , 74.10   , 112.00   ,P,0%
6118000090557,PENITARD,BENZATHINE BENZYLPENICILLINE,0.6,MUI,POUDRE POUR SUSPENSION INJECTABLE,1 BOITE 1 FLACON, 8.80   , 5.50   , 8.80   ,G,70%
6118000241157,ATROPINE PROMOPHARM 1 MG,ATROPINE,1,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE, 21.00   , 13.90   , 21.00   ,G,70%
6118001141517,ZOFRAN,ONDANSETRON,8,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME," 1,600.50   "," 1,058.70   ", 357.00   ,P,70%
6118010120145,ANDOL,PARACETAMOL,500,MG,COMPRIME EFFERVESCENT,1 BOITE 16 COMPRIME EFFERVESCENT, 14.00   , 8.70   , 14.00   ,G,70%
6118000340157,ANDOL,PARACETAMOL,500,MG,COMPRIME EFFERVESCENT,1 BOITE 16 COMPRIME EFFERVESCENT, 14.00   , 8.70   , 14.00   ,G,70%
6118010121838,SIMVASTATINE GT,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE, 78.70   , 49.20   , 78.70   ,G,70%
6118000330264,SIMVASTATINE GT,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE, 78.70   , 49.20   , 78.70   ,G,70%
6118001182077,PULVO 47,CATALASE / HEXAMIDINE,800000 / 40,UI / MG,POUDRE POUR APPLICATION LOCALE,1 FLACON 4 G, 71.30   , -     , 71.30   ,P,0%
6118001110186,OROTREX,ISOTRETINOINE,10,MG,CAPSULE MOLLE,1 BOITE 60 CAPSULE, 353.00   , 234.00   , 353.00   ,G,70%
6118010120091,ZOXAN LP 4MG,DOXAZOSINE,4,MG,COMPRIME LP,1 BOITE 28 COMPRIME A LP, 230.00   , 152.10   , 230.00   ,P,0%
6118001170814,ZOXAN LP 4MG,DOXAZOSINE,4,MG,COMPRIME LP,1 BOITE 28 COMPRIME A LP, 230.00   , 152.10   , 230.00   ,P,0%
6118001101993,EUPANTOL 40 MG,PANTOPRAZOLE,40,MG,COMPRIME GASTRO-RESISTANT,1 BOITE 14 COMPRIME GASTRO-RESISTANT, 198.00   , 131.00   , 198.00   ,P,0%
6118000050322,AIRLIX,CETIRIZINE,10,MG,COMPRIME PELLICULE SECABLE,1 BOITE 15 COMPRIME, 52.00   , 32.40   , 52.00   ,G,70%
6118000090410,INDOPHARM,INDOMETACINE,25,MG,GELULE,1 BOITE 30 GELULE, 20.30   , 12.60   , 20.30   ,G,70%
6118001120796,SANDIMMUN,CICLOSPORINE,25,MG,CAPSULE MOLLE,1 BOITE 50 CAPSULE, 565.00   , 374.00   , 544.00   ,P,70%
6118001141166,TRACRIUM,ATRACURIUM,25,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE, 545.20   , -     , 545.20   ,P,0%
6118000340096,ARES,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME PELLICULE, 72.20   , 45.00   , 72.20   ,G,70%
6118000010999,MICROLAX,SORBITOL / CITRATE DE SODIUM,4.465 / 0.45,G / G,GEL RECTAL,1 BOITE 6 RECIPIENT, 21.10   , 13.90   , 21.10   ,P,0%
6118000310075,KETOFLEX,KETOPROFENE,2.5,%,GEL,1 TUBE 20 G, 17.35   , 11.50   , 17.35   ,G,0%
6118000031758,OPTICILLINE,AMPICILLINE,1,G,POUDRE POUR USAGE PARENTERAL,1 BOITE 6 FLACON, 86.60   , 54.00   , 86.60   ,G,70%
6118001070664,ZYPREXA,OLANZAPINE,5,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME, 465.00   , 308.00   , 160.00   ,P,70%
6118000070924,TROXINE,ROXITHROMYCINE,300,MG,COMPRIME PELLICULE,1 BOITE 8 COMPRIME, 107.00   , 70.80   , 107.00   ,G,70%
6118001170340,XALACOM,LATANOPROST / TIMOLOL,50 / 5,µG / MG,COLLYRE,1 FLACON 2.5 ML, 213.00   , 132.80   , 213.00   ,P,70%
6118001260041,BECLOJET,BECLOMETASONE,250,µG,SOLUTION POUR INHALATION BUCCALE,1 FLACON 200 DOSE, 133.40   , 88.20   , 133.40   ,G,70%
6118000081937,SPECTRUM,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE SECABLE, 160.00   , 99.70   , 160.00   ,G,70%
6118010025815,ZILDEN,DILTIAZEM,60,MG,COMPRIME,1 BOITE 30 COMPRIME, 53.40   , 33.40   , 53.40   ,G,70%
6118000160779,PENAMOX,AMOXICILLINE,250,MG,COMPRIME DISPERSIBLE,1 BOITE 24 COMPRIME, 58.65   , -     , 46.90   ,P,70%
6118000040835,TRANSILAC,LACTULOSE,50,MG,SOLUTION BUVABLE,1 BOITE 20 SACHET, 71.40   , 47.20   , 71.40   ,G,0%
6118000170129,CIPROXINE MONODOSE,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE,1 BOITE 1 COMPRIME, 39.00   , 25.80   , 39.00   ,P,70%
6118000190776,PERNABOL,CYPROHEPTADINE,40,%,SIROP,1 FLACON 125 ML, 13.55   , 8.90   , 13.55   ,G,0%
6118001180851,DOTAREM,ACIDE GADOTERIQUE,0.5,MMOLE,SOLUTION INJECTABLE,1 FLACON 20 ML," 1,242.60   ", 822.00   ," 1,242.60   ",P,0%
6118000080145,UROCTAL,NORFLOXACINE,400,MG,COMPRIME,1 BOITE 20 COMPRIME, 99.00   , 61.70   , 99.00   ,G,70%
6118000180432,RISORDAN,ISOSORBIDE DINITRATE,10,MG,COMPRIME SECABLE,1 BOITE 60 COMPRIME, 27.50   , 17.20   , 27.50   ,P,70%
6118001170029,ALDACTONE,SPIRONOLACTONE,50,MG,COMPRIME PELLICULE SECABLE,1 BOITE 20 COMPRIME PELLICULE SECABLE, 57.70   , 36.10   , 57.70   ,P,70%
6118000090908,SULFOBACTIN,THIAMPHENICOL,250,MG,COMPRIME,1 BOITE 16 COMPRIME, 27.50   , 17.20   , 27.50   ,G,70%
6118000100171,STABLON,TIANEPTINE,12.5,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME, 116.50   , 72.50   , 116.50   ,P,70%
6118000140467,SULFAPRIM FORT,SULFAMETHOXAZOLE / TRIMETHOPRIME,800 / 160,MG / MG,COMPRIME,1 BOITE 20 COMPRIME, 26.50   , 16.50   , 26.50   ,G,70%
6118000050889,NO-DEP,SERTRALINE,50,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME, 126.80   , 79.00   , 126.80   ,G,70%
6118000310532,NEOCLAV,AMOXICILLINE / ACIDE CLAVULANIQUE,500 / 62.5,MG / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 12 SACHET, 62.00   , 38.60   , 62.00   ,G,70%
6118000140634,VASOBRAL,DIHYDROERGOCRYPTINE,50,MG,SOLUTION BUVABLE,1 FLACON 50 ML, 42.80   , 28.30   , 42.80   ,P,0%
6118010121890,MELOXICAM GT,MELOXICAM,15,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE, 115.90   , 72.20   , 115.90   ,G,70%
6118000330158,MELOXICAM GT,MELOXICAM,15,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE, 115.90   , 72.20   , 115.90   ,G,70%
6118000071518,DI-ALGIK,PARACETAMOL / DEXTROPROPOXYPHENE,400 / 30,MG / MG,GELULE,1 BOITE 20 GELULE, 21.50   , 14.20   , 21.50   ,G,0%
6118001071449,AGRASTAT 50 MICROGRAMMES/ML,TIROFIBAN,50,µG,SOLUTION POUR PERFUSION,1 POCHE 250 ML, -     ," 2,250.00   "," 2,250.00   ",P,0%
6118001181674,MAXEPA,HUILE NATURELLE DE CHAIR DE POISSON,1,G,CAPSULE,1 BOITE 60 CAPSULE, 170.70   , 112.90   , 170.70   ,P,0%
6118010120602,MICROPAKINE LP,VALPROATE DE SODIUM,500,MG,GRANULE LP,1 BOITE 30 SACHET, 176.40   , 109.90   , 176.40   ,P,70%
6118001081684,MICROPAKINE LP,VALPROATE DE SODIUM,500,MG,GRANULE LP,1 BOITE 30 SACHET, 176.40   , 109.90   , 176.40   ,P,70%
6118000080596,CANTABILINE 400,HYMECROMONE,400,MG,COMPRIME,1 BOITE 30 COMPRIME, 42.80   , 28.30   , 42.80   ,P,0%
6118000012580,BIPERIDYS 20MG,DOMPERIDONE,20,MG,COMPRIME PELLICULE SECABLE,1 BOITE 20 COMPRIME PELLICULE, 39.00   , 25.80   , 39.00   ,P,0%
6118000070672,MONONITRIL,ISOSORBIDE MONONITRATE,40,MG,COMPRIME SECABLE,1 BOITE 60 COMPRIME, 65.20   , 40.70   , 65.20   ,G,70%
6118010116100,PIVALONE,TIXOCORTOL,1,%,SUSPENSION NASALE,1 FLACON 10 ML, 24.40   , 15.20   , 24.40   ,P,70%
6118000250784,PIVALONE,TIXOCORTOL,1,%,SUSPENSION NASALE,1 FLACON 10 ML, 24.40   , 15.20   , 24.40   ,P,70%
6118000033059,LEVAMOX 500 MG/62.5 MG,AMOXICILLINE / ACIDE CLAVULANIQUE,500 / 62.5,MG / MG,COMPRIME EFFERVESCENT,1 BOITE 24 COMPRIME EFFERVESCENT, 175.50   , 116.10   , 175.50   ,G,0%
6118001230518,ONDANSETRON AGUETTANT 2 MG/ML,ONDANSETRON,4,MG,SOLUTION INJECTABLE,10 AMPOULE 2 ML, 326.00   , 216.00   , 326.00   ,G,70%
6118001080458,LOVENOX,ENOXAPARINE,6000,UI ANTI-XA,SOLUTION INJECTABLE,2 SERINGUE .6 ML, 187.20   , 116.60   , 152.00   ,P,70%
6118001080571,OFLOCET,OFLOXACINE,1.5,MG,SOLUTION AURICULAIRE,20 RECIPIENT .5 ML, 70.60   , 44.00   , 70.60   ,P,70%
6118001183623,OFLOCET,OFLOXACINE,1.5,MG,SOLUTION AURICULAIRE,20 RECIPIENT .5 ML, 70.60   , 44.00   , 70.60   ,P,70%
6118010035210,THYMOGLOBULINE,IMMUNOGLOBULINES DE LAPIN ANTITHYMOCYTES HUMAINS,25,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON," 1,042.40   ", -     ," 1,042.40   ",P,70%
6118000060758,MAALOX,HYDROXYDE D'ALUMINIUM / HYDROXYDE DE MAGNESIUM,4 / 3.5,MG / MG,SUSPENSION BUVABLE,1 FLACON 250 ML, 25.90   , 17.10   , 25.90   ,P,0%
